generation,best_fitness,avg_fitness,median_fitness,global_best_fitness,n_species,n_connections_best,n_hidden_best,oracle_tax,elapsed_sec
0,0.796875,0.11296875,0.513671875,0.796875,0,1,0,-0.25,2.6307759284973145
1,0.765625,0.4058606770833333,0.578125,0.796875,1,2,1,-0.29583333333333334,2.563316822052002
2,0.90625,0.6237630208333332,0.671875,0.90625,1,2,0,-0.3416666666666667,2.5341765880584717
3,0.78125,0.50790234375,0.609375,0.90625,1,2,0,-0.3875,2.595867872238159
4,0.84375,0.5656302083333333,0.671875,0.90625,1,1,0,-0.43333333333333335,2.563265323638916
5,0.8125,0.60359375,0.671875,0.90625,1,3,1,-0.47916666666666663,2.571986198425293
6,0.796875,0.56228515625,0.609375,0.90625,1,3,0,-0.525,2.6122748851776123
7,0.84375,0.487826171875,0.6015625,0.90625,1,2,0,-0.5708333333333333,2.5776798725128174
8,0.828125,0.5742343750000001,0.671875,0.90625,1,2,0,-0.6166666666666667,2.48305082321167
9,0.796875,0.46579296875,0.625,0.90625,1,4,1,-0.6625,2.518888473510742
10,0.875,0.6212239583333333,0.71875,0.90625,1,3,0,-0.7083333333333333,2.592562198638916
11,0.78125,0.47804622395833335,0.640625,0.90625,1,4,1,-0.7541666666666667,2.558688163757324
12,0.921875,0.6405937500000001,0.7421875,0.921875,1,3,1,-0.8,2.6210830211639404
13,0.796875,0.5821041666666666,0.640625,0.921875,1,7,1,-0.8458333333333333,2.6735305786132812
14,0.859375,0.60148828125,0.671875,0.921875,1,4,0,-0.8916666666666667,3.1921215057373047
15,0.578125,0.460546875,0.5,0.921875,1,2,1,-0.9375,3.2987613677978516
16,0.609375,0.3090390625,0.5625,0.921875,1,4,0,-0.9833333333333333,3.201751470565796
17,0.53125,0.45201302083333333,0.46875,0.921875,1,6,2,-1.0291666666666668,3.2129478454589844
18,0.609375,0.51823046875,0.53125,0.921875,1,6,2,-1.075,3.2278692722320557
19,0.671875,0.5619804687500001,0.609375,0.921875,1,5,1,-1.1208333333333333,3.331857204437256
20,0.53125,0.415,0.421875,0.921875,1,5,2,-1.1666666666666665,3.2307519912719727
21,0.625,0.371921875,0.53125,0.921875,1,7,0,-1.2125,3.3239247798919678
22,0.609375,0.2580338541666667,0.484375,0.921875,1,5,0,-1.2583333333333333,3.483152151107788
23,0.53125,0.46265625,0.453125,0.921875,1,5,1,-1.3041666666666667,3.5981531143188477
24,0.6875,0.34301562499999994,0.609375,0.921875,1,6,2,-1.35,3.5882654190063477
25,0.609375,0.5280891927083333,0.59375,0.921875,1,6,2,-1.3958333333333335,3.4736170768737793
26,0.578125,0.4547317708333333,0.453125,0.921875,1,7,2,-1.4416666666666667,3.5626931190490723
27,0.5625,0.4946328125,0.546875,0.921875,1,7,2,-1.4875,3.619943141937256
28,0.515625,0.43128124999999995,0.515625,0.921875,1,8,1,-1.5333333333333334,3.945704936981201
29,0.53125,0.2951341145833333,0.515625,0.921875,1,8,1,-1.5791666666666666,3.545161724090576
30,0.578125,0.4697265625,0.5625,0.921875,1,6,2,-1.625,3.441925525665283
31,0.5,0.36342447916666665,0.453125,0.921875,1,8,2,-1.6708333333333334,3.395632266998291
32,0.515625,0.33376041666666667,0.46875,0.921875,1,10,4,-1.7166666666666666,5.652231693267822
33,0.5625,0.46596484374999997,0.515625,0.921875,1,7,3,-1.7625000000000002,5.486734867095947
34,0.625,0.5283802083333333,0.5625,0.921875,1,9,2,-1.8083333333333333,5.930563449859619
35,0.484375,0.2307259114583333,0.46875,0.921875,1,9,2,-1.8541666666666667,3.4623942375183105
36,0.46875,0.32840625,0.453125,0.921875,1,8,2,-1.9,7.821909427642822
37,0.515625,0.27869401041666664,0.4375,0.921875,1,8,5,-1.9458333333333333,6.107884168624878
38,0.59375,0.42072916666666665,0.59375,0.921875,1,9,2,-1.9916666666666667,3.4661905765533447
39,0.5,0.38924609375,0.46875,0.921875,1,8,2,-2.0375,5.47668719291687
40,0.625,0.5098958333333333,0.546875,0.921875,1,10,2,-2.083333333333333,5.989789724349976
41,0.484375,0.31942317708333334,0.4375,0.921875,1,10,3,-2.1291666666666664,8.594346284866333
42,0.65625,0.45178125,0.640625,0.921875,1,10,2,-2.175,3.8750381469726562
43,0.46875,0.35535937500000003,0.421875,0.921875,1,10,3,-2.220833333333333,4.18938684463501
44,0.46875,0.14982291666666667,0.34375,0.921875,1,11,2,-2.2666666666666666,8.842834234237671
45,0.703125,0.5776953125,0.640625,0.921875,1,12,2,-2.3125,10.739598274230957
46,0.6875,-0.6459283854166668,0.128125,0.921875,1,10,3,-2.3583333333333334,13.7717924118042
47,0.78125,0.23694986979166668,0.39794921875,0.921875,1,8,2,-2.404166666666667,12.107472896575928
48,0.890625,0.26898437499999994,0.60390625,0.921875,1,8,4,-2.45,11.279412746429443
49,0.796875,0.40662565104166665,0.65625,0.921875,1,8,5,-2.495833333333333,11.496089458465576
50,0.84375,0.45866536458333335,0.5625,0.921875,1,11,4,-2.541666666666667,12.116525888442993
51,0.828125,0.59265625,0.6484375,0.921875,1,12,4,-2.5875,11.688138961791992
52,0.8125,0.24952083333333333,0.640625,0.921875,1,8,5,-2.6333333333333333,11.784144639968872
53,0.90625,0.5893411458333334,0.75,0.921875,1,8,5,-2.6791666666666667,11.59040641784668
54,0.90625,0.6771796875000001,0.734375,0.921875,1,8,3,-2.725,11.310171604156494
55,0.859375,0.5255696614583334,0.6875,0.921875,1,11,5,-2.770833333333333,11.68450665473938
56,0.84375,0.5581197916666667,0.703125,0.921875,1,10,4,-2.816666666666667,12.591628313064575
57,0.875,0.47753515625,0.75,0.921875,1,10,4,-2.8625,14.085107564926147
58,0.65625,0.2771471354166667,0.5625,0.921875,1,10,4,-2.908333333333333,11.082966566085815
59,0.96875,0.6266881510416666,0.765625,0.96875,1,15,6,-2.9541666666666666,11.581594228744507
60,0.890625,0.73375,0.8125,0.96875,1,12,7,-3.0,11.64345383644104
61,0.890625,0.5059375,0.7109375,0.96875,1,11,6,-3.0,11.565726280212402
62,0.71875,0.319375,0.625,0.96875,1,12,6,-3.0,11.48020625114441
63,0.796875,0.63046875,0.65625,0.96875,1,12,7,-3.0,10.437712907791138
64,0.828125,0.453125,0.6875,0.96875,1,12,5,-3.0,11.215166091918945
65,0.90625,0.38828125,0.71875,0.96875,1,15,6,-3.0,10.558316230773926
66,0.828125,0.545625,0.65625,0.96875,1,12,6,-3.0,11.166688919067383
67,0.671875,0.439375,0.5625,0.96875,1,20,7,-3.0,10.447984457015991
68,0.890625,0.3196875,0.71875,0.96875,1,17,7,-3.0,10.91781497001648
69,0.71875,0.46296875,0.59375,0.96875,1,16,7,-3.0,11.00794243812561
70,0.796875,0.436875,0.671875,0.96875,1,20,7,-3.0,12.291920900344849
71,0.828125,0.34109375,0.671875,0.96875,1,16,7,-3.0,12.101978302001953
72,0.796875,0.47109375,0.703125,0.96875,1,11,7,-3.0,11.438542366027832
73,0.75,0.433125,0.609375,0.96875,1,13,8,-3.0,11.69765305519104
74,0.828125,0.615625,0.6875,0.96875,1,15,8,-3.0,10.233869314193726
75,0.875,0.62484375,0.75,0.96875,1,15,6,-3.0,12.209981441497803
76,0.796875,0.47421875,0.7109375,0.96875,1,16,6,-3.0,11.006747007369995
77,0.84375,0.13390625,0.71875,0.96875,1,16,8,-3.0,12.652991771697998
78,0.640625,0.32375,0.53125,0.96875,1,12,10,-3.0,13.31963300704956
79,0.96875,0.58046875,0.828125,0.96875,1,15,9,-3.0,11.896393775939941
80,0.84375,0.4878125,0.671875,0.96875,1,15,11,-3.0,12.839271068572998
81,0.9375,0.4196875,0.75,0.96875,1,16,10,-3.0,12.677988529205322
82,0.703125,0.5665625,0.609375,0.96875,1,15,10,-3.0,12.590324401855469
83,0.828125,0.5725,0.703125,0.96875,1,17,7,-3.0,12.543055057525635
84,0.703125,0.27671875,0.5625,0.96875,1,16,10,-3.0,14.123670816421509
85,0.75,0.38125,0.671875,0.96875,1,17,8,-3.0,12.446290731430054
86,0.828125,0.45765625,0.671875,0.96875,1,15,11,-3.0,13.587928533554077
87,0.984375,0.609375,0.8125,0.984375,1,17,7,-3.0,12.786649465560913
88,0.953125,0.5403125,0.7890625,0.984375,1,17,6,-3.0,13.175453662872314
89,0.921875,0.6328125,0.796875,0.984375,1,19,10,-3.0,15.683085918426514
90,0.765625,0.42765625,0.65625,0.984375,1,22,11,-3.0,14.63765811920166
91,0.90625,0.633125,0.75,0.984375,1,20,9,-3.0,14.887470483779907
92,0.875,0.4446875,0.734375,0.984375,1,21,10,-3.0,13.602782011032104
93,1.078125,0.78703125,0.875,1.078125,1,21,11,-3.0,12.263325452804565
94,0.8125,0.56328125,0.671875,1.078125,1,16,11,-3.0,12.64431381225586
95,0.984375,0.5684375,0.8125,1.078125,1,20,9,-3.0,11.602361917495728
96,0.859375,0.5040625,0.703125,1.078125,1,18,11,-3.0,13.894653558731079
